FRAME,PATHS
0,nan
1,Cali -> Guadeloupe,Quito -> Guadeloupe
2,Cali -> Guadeloupe,Quito -> Guadeloupe
3,Quito -> Guadeloupe,Guayaquil -> Guadeloupe
4,Cali -> Guadeloupe,Quito -> Guadeloupe,Guayaquil -> Guadeloupe
5,Medellin -> Guadeloupe,Cali -> Guadeloupe,Quito -> Guadeloupe
6,Medellin -> Guadeloupe,Cali -> Guadeloupe,Guayaquil -> Guadeloupe
7,Medellin -> Guadeloupe,Cali -> Guadeloupe,Guayaquil -> Guadeloupe
8,Medellin -> Guadeloupe,Quito -> Guadeloupe,Cali -> Guadeloupe
9,Medellin -> Guadeloupe,Quito -> Guadeloupe,Cali -> Guadeloupe,Guayaquil -> Guadeloupe
10,Medellin -> Guadeloupe,Cali -> Guadeloupe,Quito -> Guadeloupe,Guayaquil -> Guadeloupe
11,Medellin -> Guadeloupe,Cali -> Guadeloupe
12,Cali -> Guadeloupe,Quito -> Guadeloupe
13,Medellin -> Guadeloupe,Cali -> Guadeloupe,Quito -> Guadeloupe,Guayaquil -> Guadeloupe
14,Cali -> Guadeloupe,Guayaquil -> Guadeloupe,Quito -> Guadeloupe
15,Medellin -> Guadeloupe,Cali -> Guadeloupe
16,Medellin -> Guadeloupe,Cali -> Guadeloupe
17,Cali -> Guadeloupe,Guayaquil -> Guadeloupe,Quito -> Guadeloupe
18,Cali -> Guadeloupe,Medellin -> Guadeloupe,Guayaquil -> Guadeloupe,Quito -> Guadeloupe
19,Maracaibo -> Guadeloupe,Cali -> Guadeloupe,Medellin -> Guadeloupe,Guayaquil -> Guadeloupe,Quito -> Guadeloupe
20,Quito -> Miami,Maracaibo -> New York
21,Quito -> Miami
22,Guayaquil -> Miami,Maracaibo -> New York,Cali -> New York
23,Guayaquil -> Miami,Quito -> Miami
24,Guayaquil -> Miami,Maracaibo -> New York,Cali -> New York
25,Quito -> Guadeloupe,Guayaquil -> Guadeloupe
26,Medellin -> Guadeloupe,Quito -> Santo Domingo,Guayaquil -> Guadeloupe
27,Medellin -> Guadeloupe,Cali -> Guadeloupe,Quito -> Guadeloupe,Guayaquil -> Guadeloupe
28,Medellin -> Guadeloupe,Cali -> Guadeloupe,Guayaquil -> Guadeloupe
29,Medellin -> Guadeloupe,Cali -> Guadeloupe,Quito -> Guadeloupe,Guayaquil -> Guadeloupe
30,Medellin -> Guadeloupe,Cali -> Guadeloupe,Guayaquil -> Guadeloupe
31,Cali -> Guadeloupe,Guayaquil -> Guadeloupe
32,Medellin -> Guadeloupe,Quito -> Guadeloupe,Cali -> Guadeloupe
33,Medellin -> Guadeloupe,Quito -> Guadeloupe,Cali -> Guadeloupe,Guayaquil -> Guadeloupe
34,Medellin -> Guadeloupe,Quito -> Guadeloupe,Guayaquil -> Guadeloupe
35,Medellin -> Guadeloupe,Quito -> Guadeloupe,Cali -> Guadeloupe,Guayaquil -> Guadeloupe
36,Medellin -> Guadeloupe,Cali -> Guadeloupe,Guayaquil -> Guadeloupe,Quito -> Guadeloupe
37,Medellin -> Guadeloupe,Cali -> Guadeloupe,Quito -> Guadeloupe,Guayaquil -> Guadeloupe
38,Medellin -> Guadeloupe,Cali -> Guadeloupe,Guayaquil -> Guadeloupe
39,Medellin -> Guadeloupe,Cali -> Guadeloupe,Quito -> Guadeloupe,Guayaquil -> Guadeloupe
40,Medellin -> Guadeloupe,Cali -> Guadeloupe,Guayaquil -> Guadeloupe,Quito -> Guadeloupe
41,Medellin -> Guadeloupe,Guayaquil -> Guadeloupe,Quito -> Guadeloupe
42,Medellin -> Guadeloupe,Cali -> Guadeloupe
43,Cali -> Guadeloupe,Quito -> Guadeloupe
44,Maracaibo -> Guadeloupe,Cali -> Guadeloupe,Medellin -> Guadeloupe,Quito -> Guadeloupe
45,Cali -> Guadeloupe,Guayaquil -> Guadeloupe
46,Guayaquil -> Miami,Quito -> Miami,Cali -> New York
47,Guayaquil -> Miami,Cali -> Boston
48,Guayaquil -> Miami,Quito -> Miami,Cali -> New York
49,Guayaquil -> Miami,Quito -> Miami
50,Quito -> Miami,Maracaibo -> New York,Cali -> New York
