Direction,Landlocked,Coastal,Insular,Polar,Equatorial,TransOrbital,IntraOrbital
East,20.2201,,,33.6155,77.2465,24.255,20.2179
West,22.3382,33.7329,,33.678,77.3651,24.5757,22.3382
North,34.4651,20.4067,94.5462,,19.5866,,34.4651
South,37.8671,21.1317,92.2908,,35.1504,,37.8671
