Direction,Landlocked,Coastal,Insular,Polar,Equatorial,TransOrbital,IntraOrbital
East,22.416,,,60.9346,77.6014,24.7643,22.4116
West,26.1459,105.8818,,74.2177,97.0255,30.9148,26.1459
North,42.18,25.1371,96.7519,,21.999,,42.18
South,39.7935,30.7054,106.4181,,47.5441,,39.7935
