Variant,Direction,Baseline,3-RiDS,6-RiDS,9-RiDS
Landlocked,East,20.2200947,20.4795895,24.4346929,26.8985062
Landlocked,West,22.3382092,24.8021679,26.3233356,28.2269077
Landlocked,North,34.4650726,38.6239815,44.07938,46.4728813
Landlocked,South,37.8671303,39.5340385,40.9668198,44.3360519
Coastal,East,,,,
Coastal,West,33.7329035,34.1803522,40.1902752,56.1128578
Coastal,North,20.4066973,24.8717079,25.4672389,25.9072075
Coastal,South,21.1317158,25.7381134,29.5866108,36.2669411
Polar,East,33.61549,33.9604683,35.7105026,38.2574081
Polar,West,33.6779938,33.858593,35.4154625,35.9490051
Polar,North,,,,
Polar,South,,,,
Equatorial,East,77.2465382,77.6002884,81.5947323,80.89785
Equatorial,West,77.3650589,82.6804314,85.816103,86.7382126
Equatorial,North,19.5865979,21.3577142,25.0203333,29.8582973
Equatorial,South,35.150425,36.0539856,36.4231911,41.6318474
IntraOrbital,East,20.2179065,20.5126157,24.4346929,26.8985062
IntraOrbital,West,22.3382092,24.8021679,26.3233356,28.2269077
IntraOrbital,North,34.4650726,38.6239815,44.07938,46.4728813
IntraOrbital,South,37.8671303,39.5340385,40.9668198,44.3360519
