Direction,Landlocked,Coastal,Insular,Polar,Equatorial,TransOrbital,IntraOrbital
East,0.5490196,0.0,0.0,0.0,0.1196078,0.0,0.5470588
West,0.3137255,0.8431373,0.0,0.0,0.0,0.0,0.3137255
North,0.9803922,0.0,0.0,0.0,0.0784314,0.0,0.9803922
South,0.7254902,0.9803922,0.0,0.0,0.0,0.0,0.7254902
