Direction,Landlocked,Coastal,Insular,Polar,Equatorial,TransOrbital,IntraOrbital
East,25.399,,,68.6536,78.599,25.4142,25.399
West,29.1774,108.9692,,80.7048,98.1912,31.9577,29.1774
North,47.0589,25.4194,97.7833,,24.7419,,47.0589
South,42.0964,81.579,107.888,,53.2311,,42.0964
