Variant,Direction,Baseline,3-RiDS,6-RiDS,9-RiDS
Landlocked,East,25.3990154,28.3086967,33.4623919,46.9004745
Landlocked,West,29.1774311,31.320776,35.7456589,40.4683418
Landlocked,North,47.0589218,55.4422035,69.0597916,80.7689819
Landlocked,South,42.0964127,50.3400154,60.5739708,69.2807465
Coastal,East,,,,
Coastal,West,108.9691792,111.4118214,122.1098785,163.3068542
Coastal,North,25.419384,32.6794376,42.2490168,52.7060699
Coastal,South,81.5789795,87.9586334,92.2187042,96.5184784
Polar,East,68.6536026,77.1748886,90.0369186,96.0987473
Polar,West,80.7047501,82.8278427,98.5575485,107.8671188
Polar,North,,,,
Polar,South,,,,
Equatorial,East,78.5990143,84.776619,92.6284885,92.1642952
Equatorial,West,98.191164,100.7981701,107.5220528,103.5541496
Equatorial,North,24.74191,37.0213823,48.2378187,54.7941132
Equatorial,South,53.2310944,55.4442253,63.8784256,67.517601
IntraOrbital,East,25.3990154,28.248538,33.4623919,46.9004745
IntraOrbital,West,29.1774311,31.320776,35.7456589,40.4683418
IntraOrbital,North,47.0589218,55.4422035,69.0597916,80.7689819
IntraOrbital,South,42.0964127,50.3400154,60.5739708,69.2807465
