FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,1106 -> 1105,5,0,20000
2,1106 -> 1105,5,0,20000
3,1106 -> 1105,5,20000,0
4,1106 -> 1105,5,0,20000
5,1106 -> 1105,5,16000,4000
6,1106 -> 1105,5,16000,4000
7,1106 -> 1105,5,20000,0
8,1106 -> 1105,5,4000,16000
9,1106 -> 1105,5,20000,0
10,1106 -> 1105,5,16000,4000
11,1106 -> 1105,5,20000,0
12,1106 -> 1105,5,20000,0
13,1106 -> 1105,5,20000,0
14,1106 -> 1105,5,20000,0
15,1106 -> 1105,5,8000,12000
16,1106 -> 1105,5,20000,0
17,1106 -> 1105,5,16000,4000
18,1106 -> 1105,5,8000,12000
19,1106 -> 1105,5,20000,0
20,1107 -> 1106,5,20000,0
21,1107 -> 1106,5,16000,4000
22,1107 -> 1106,5,20000,0
23,1107 -> 1106,5,8000,12000
24,1107 -> 1106,5,0,20000
25,1107 -> 1106,5,0,20000
26,1107 -> 1106,5,16000,4000
27,1107 -> 1106,5,16000,4000
28,1107 -> 1106,5,20000,0
29,1107 -> 1106,5,8000,12000
30,1107 -> 1106,5,20000,0
31,1107 -> 1106,5,0,20000
32,1107 -> 1106,5,20000,0
33,1107 -> 1106,5,20000,0
34,1107 -> 1106,5,20000,0
35,1107 -> 1106,5,20000,0
36,1107 -> 1106,5,20000,0
37,1107 -> 1106,5,4000,16000
38,1107 -> 1106,5,20000,0
39,1107 -> 1106,5,20000,0
40,1107 -> 1106,5,0,20000
41,1107 -> 1106,5,4000,16000
42,1107 -> 1106,5,8000,12000
43,1107 -> 1106,5,0,20000
44,1107 -> 1106,5,4000,16000
45,1107 -> 1106,5,0,20000
46,1108 -> 1107,5,20000,0
47,1108 -> 1107,5,12000,8000
48,1108 -> 1107,5,8000,12000
49,1108 -> 1107,5,12000,8000
50,1108 -> 1107,5,20000,0
