FRAME,PATHS
0,nan
1,Winnipeg -> St. John's, Canada,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
2,Winnipeg -> Dakar, Senegal,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
3,Winnipeg -> Dakar, Senegal,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
4,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
5,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
6,Edmonton -> Dakar, Senegal
7,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
8,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
9,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
10,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
11,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
12,Edmonton -> St. John's, Canada,Calgary -> St. John's, Canada
13,Edmonton -> St. John's, Canada,Calgary -> St. John's, Canada
14,Edmonton -> St. John's, Canada,Calgary -> St. John's, Canada,Winnipeg -> Dakar, Senegal
15,Edmonton -> St. John's, Canada,Calgary -> St. John's, Canada
16,Edmonton -> St. John's, Canada,Calgary -> St. John's, Canada,Winnipeg -> Dakar, Senegal
17,Edmonton -> St. John's, Canada,Calgary -> St. John's, Canada
18,Calgary -> St. John's, Canada,Edmonton -> St. John's, Canada,Winnipeg -> Dakar, Senegal
19,Calgary -> St. John's, Canada,Edmonton -> St. John's, Canada
20,Calgary -> St. John's, Canada,Edmonton -> St. John's, Canada,Winnipeg -> Dakar, Senegal
21,Winnipeg -> Dakar, Senegal,Calgary -> Dakar, Senegal,Edmonton -> Dakar, Senegal
22,Winnipeg -> Dakar, Senegal,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
23,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
24,Winnipeg -> Dakar, Senegal,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
25,Winnipeg -> St. John's, Canada,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
26,Winnipeg -> St. John's, Canada,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
27,Winnipeg -> St. John's, Canada,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
28,Winnipeg -> St. John's, Canada,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
29,Winnipeg -> Dakar, Senegal,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
30,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
31,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
32,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
33,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
34,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
35,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
36,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
37,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
38,Edmonton -> St. John's, Canada,Calgary -> St. John's, Canada
39,Edmonton -> St. John's, Canada,Calgary -> St. John's, Canada
40,Edmonton -> St. John's, Canada,Calgary -> St. John's, Canada,Winnipeg -> Dakar, Senegal
41,Edmonton -> St. John's, Canada,Calgary -> St. John's, Canada,Winnipeg -> Dakar, Senegal
42,Edmonton -> St. John's, Canada,Calgary -> St. John's, Canada
43,Edmonton -> St. John's, Canada,Calgary -> St. John's, Canada,Winnipeg -> Dakar, Senegal
44,Calgary -> St. John's, Canada,Edmonton -> St. John's, Canada,Winnipeg -> Dakar, Senegal
45,Calgary -> St. John's, Canada,Edmonton -> St. John's, Canada,Winnipeg -> Dakar, Senegal
46,Calgary -> St. John's, Canada,Edmonton -> St. John's, Canada
47,Winnipeg -> Dakar, Senegal,Calgary -> Dakar, Senegal,Edmonton -> Dakar, Senegal
48,Winnipeg -> Dakar, Senegal,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
49,Winnipeg -> Dakar, Senegal,Edmonton -> Dakar, Senegal,Calgary -> Dakar, Senegal
50,Winnipeg -> Dakar, Senegal,Edmonton -> Dakar, Senegal
