FRAME,PATHS
0,nan
1,Kano -> Addis Ababa,Cairo -> Kampala, Uganda,Alexandria -> Kampala, Uganda,Algiers, Algeria -> Addis Ababa,Casablanca -> Addis Ababa
2,Kano -> Addis Ababa,Cairo -> Kampala, Uganda,Alexandria -> Kampala, Uganda,Algiers, Algeria -> Addis Ababa,Casablanca -> Addis Ababa
3,Kano -> Addis Ababa,Cairo -> Kampala, Uganda,Alexandria -> Kampala, Uganda,Algiers, Algeria -> Addis Ababa,Casablanca -> Addis Ababa
4,Kano -> Addis Ababa,Alexandria -> Kampala, Uganda,Algiers, Algeria -> Addis Ababa,Cairo -> Kampala, Uganda,Casablanca -> Addis Ababa
5,Kano -> Addis Ababa,Cairo -> Kampala, Uganda,Algiers, Algeria -> Addis Ababa,Casablanca -> Addis Ababa
6,Kano -> Addis Ababa,Cairo -> Kampala, Uganda,Algiers, Algeria -> Addis Ababa,Casablanca -> Addis Ababa
7,Kano -> Addis Ababa,Casablanca -> Addis Ababa,Algiers, Algeria -> Addis Ababa
8,Kano -> Addis Ababa,Cairo -> Nairobi,Alexandria -> Nairobi,Casablanca -> Addis Ababa,Algiers, Algeria -> Addis Ababa
9,Kano -> Addis Ababa,Cairo -> Nairobi,Alexandria -> Nairobi,Casablanca -> Addis Ababa
10,Alexandria -> Nairobi,Casablanca -> Addis Ababa,Algiers, Algeria -> Addis Ababa
11,Kano -> Addis Ababa,Cairo -> Nairobi,Alexandria -> Nairobi,Casablanca -> Addis Ababa,Algiers, Algeria -> Addis Ababa
12,Kano -> Addis Ababa,Cairo -> Nairobi,Alexandria -> Nairobi,Casablanca -> Addis Ababa,Algiers, Algeria -> Addis Ababa
13,Kano -> Addis Ababa,Cairo -> Nairobi,Alexandria -> Nairobi,Casablanca -> Addis Ababa,Algiers, Algeria -> Addis Ababa
14,Kano -> Addis Ababa,Cairo -> Nairobi,Alexandria -> Nairobi,Casablanca -> Addis Ababa,Algiers, Algeria -> Addis Ababa
15,Cairo -> Nairobi,Alexandria -> Nairobi,Casablanca -> Addis Ababa,Algiers, Algeria -> Addis Ababa
16,Kano -> Addis Ababa,Cairo -> Nairobi,Alexandria -> Nairobi,Algiers, Algeria -> Addis Ababa,Casablanca -> Addis Ababa
17,Kano -> Addis Ababa,Cairo -> Nairobi,Algiers, Algeria -> Addis Ababa,Alexandria -> Nairobi,Casablanca -> Addis Ababa
18,Algiers, Algeria -> Addis Ababa,Alexandria -> Nairobi,Casablanca -> Addis Ababa
19,Algiers, Algeria -> Addis Ababa,Alexandria -> Nairobi,Casablanca -> Addis Ababa
20,Cairo -> Nairobi,Algiers, Algeria -> Addis Ababa,Alexandria -> Nairobi,Casablanca -> Addis Ababa
21,Algiers, Algeria -> Addis Ababa,Alexandria -> Nairobi,Casablanca -> Addis Ababa
22,Cairo -> Nairobi,Algiers, Algeria -> Addis Ababa,Alexandria -> Nairobi,Casablanca -> Addis Ababa
23,Cairo -> Kampala, Uganda,Alexandria -> Kampala, Uganda,Algiers, Algeria -> Addis Ababa,Casablanca -> Addis Ababa
24,Cairo -> Kampala, Uganda,Alexandria -> Kampala, Uganda,Algiers, Algeria -> Addis Ababa,Casablanca -> Addis Ababa
25,Cairo -> Kampala, Uganda,Alexandria -> Kampala, Uganda
26,Cairo -> Kampala, Uganda,Alexandria -> Kampala, Uganda,Algiers, Algeria -> Addis Ababa,Casablanca -> Addis Ababa
27,Kano -> Nairobi,Cairo -> Kampala, Uganda,Alexandria -> Kampala, Uganda,Algiers, Algeria -> Addis Ababa,Casablanca -> Addis Ababa
28,Kano -> Addis Ababa,Cairo -> Kampala, Uganda,Alexandria -> Kampala, Uganda,Algiers, Algeria -> Addis Ababa,Casablanca -> Addis Ababa
29,Kano -> Addis Ababa,Cairo -> Kampala, Uganda,Alexandria -> Kampala, Uganda,Algiers, Algeria -> Addis Ababa,Casablanca -> Addis Ababa
30,Kano -> Addis Ababa,Alexandria -> Kampala, Uganda,Algiers, Algeria -> Addis Ababa,Cairo -> Kampala, Uganda,Casablanca -> Addis Ababa
31,Kano -> Addis Ababa,Cairo -> Kampala, Uganda,Algiers, Algeria -> Addis Ababa,Alexandria -> Nairobi,Casablanca -> Addis Ababa
