FRAME,PATHS
0,nan
1,San Francisco -> El Paso,Seattle -> El Paso,Vancouver -> Leon, Mexico,Kagoshima City -> El Paso,Nishino, Kagoshima -> El Paso
2,San Francisco -> El Paso,Seattle -> El Paso,Vancouver -> Leon, Mexico,Kagoshima City -> El Paso,Nishino, Kagoshima -> El Paso
3,San Francisco -> El Paso,Seattle -> El Paso,Vancouver -> Leon, Mexico,Nishino, Kagoshima -> El Paso
4,San Francisco -> El Paso,Seattle -> El Paso,Vancouver -> Leon, Mexico,Kagoshima City -> El Paso,Nishino, Kagoshima -> El Paso
5,San Francisco -> El Paso,Seattle -> El Paso,Vancouver -> Leon, Mexico,Kagoshima City -> El Paso,Nishino, Kagoshima -> El Paso
6,San Francisco -> Houston,Seattle -> Ecatepec, Mexico,Vancouver -> Puebla, Mexico,Nishino, Kagoshima -> San Antonio,Kagoshima City -> San Antonio
7,San Francisco -> Houston,Seattle -> Ecatepec, Mexico,Vancouver -> Puebla, Mexico,Nishino, Kagoshima -> San Antonio,Kagoshima City -> San Antonio
8,San Francisco -> Houston,Seattle -> Ecatepec, Mexico,Vancouver -> Puebla, Mexico,Nishino, Kagoshima -> San Antonio,Kagoshima City -> San Antonio
9,San Francisco -> Houston,Seattle -> Leon, Mexico,Vancouver -> Leon, Mexico,Kagoshima City -> San Antonio,Nishino, Kagoshima -> Leon, Mexico
10,San Francisco -> Houston,Seattle -> Leon, Mexico,Vancouver -> Leon, Mexico,Kagoshima City -> San Antonio,Nishino, Kagoshima -> Leon, Mexico
11,San Francisco -> Houston,Seattle -> Leon, Mexico,Vancouver -> Leon, Mexico,Kagoshima City -> San Antonio,Nishino, Kagoshima -> Leon, Mexico
12,San Francisco -> Houston,Seattle -> Leon, Mexico,Vancouver -> Leon, Mexico,Kagoshima City -> San Antonio,Nishino, Kagoshima -> San Antonio
13,San Francisco -> Houston,Seattle -> Leon, Mexico,Vancouver -> Leon, Mexico,Kagoshima City -> Leon, Mexico,Nishino, Kagoshima -> Leon, Mexico
14,San Francisco -> Houston,Seattle -> Leon, Mexico,Vancouver -> Leon, Mexico,Nishino, Kagoshima -> Leon, Mexico,Kagoshima City -> Leon, Mexico
15,San Francisco -> Houston,Seattle -> Leon, Mexico,Vancouver -> Leon, Mexico,Nishino, Kagoshima -> Leon, Mexico,Kagoshima City -> Leon, Mexico
16,San Francisco -> San Antonio,Seattle -> Leon, Mexico,Vancouver -> Leon, Mexico,Kagoshima City -> San Antonio,Nishino, Kagoshima -> San Antonio
17,San Francisco -> San Antonio,Seattle -> Leon, Mexico,Vancouver -> Leon, Mexico,Kagoshima City -> San Antonio,Nishino, Kagoshima -> San Antonio
