FRAME,PATHS
0,nan
1,Medellin -> Guadeloupe,Cali -> Guadeloupe,Quito -> Guadeloupe
2,Medellin -> Guadeloupe,Cali -> Guadeloupe,Quito -> Guadeloupe,Guayaquil -> Guadeloupe
3,Medellin -> Guadeloupe,Cali -> Guadeloupe,Quito -> Guadeloupe,Guayaquil -> Guadeloupe
4,Medellin -> Guadeloupe,Cali -> Guadeloupe,Quito -> Guadeloupe,Guayaquil -> Guadeloupe
5,Medellin -> Guadeloupe,Cali -> Guadeloupe,Quito -> Guadeloupe,Guayaquil -> Guadeloupe
6,Medellin -> Guadeloupe,Quito -> Guadeloupe,Cali -> Guadeloupe,Guayaquil -> Guadeloupe
7,Medellin -> Guadeloupe,Quito -> Guadeloupe,Cali -> Guadeloupe
8,Medellin -> Guadeloupe,Quito -> Guadeloupe,Cali -> Guadeloupe,Guayaquil -> Guadeloupe
9,Cali -> Guadeloupe,Guayaquil -> Guadeloupe
10,Medellin -> Guadeloupe,Cali -> Guadeloupe,Quito -> Guadeloupe,Guayaquil -> Guadeloupe
11,nan
12,Medellin -> Guadeloupe,Cali -> Guadeloupe,Quito -> Guadeloupe
13,Cali -> Guadeloupe,Quito -> Guadeloupe,Guayaquil -> Guadeloupe
14,Guayaquil -> Guadeloupe,Quito -> Guadeloupe
15,Medellin -> Guadeloupe,Cali -> Guadeloupe,Guayaquil -> Guadeloupe
16,Cali -> Guadeloupe,Guayaquil -> Guadeloupe,Quito -> Guadeloupe
17,Guayaquil -> Guadeloupe,Quito -> Guadeloupe
18,Medellin -> Guadeloupe,Guayaquil -> Guadeloupe,Quito -> Guadeloupe
19,Maracaibo -> Guadeloupe,Cali -> Guadeloupe,Medellin -> Guadeloupe
20,Quito -> Miami,Maracaibo -> New York,Cali -> New York
21,Maracaibo -> New York,Cali -> Boston
22,Quito -> Miami,Maracaibo -> New York,Cali -> New York
23,Quito -> Miami,Maracaibo -> New York,Cali -> New York
24,Guayaquil -> Miami,Maracaibo -> New York,Cali -> New York
25,Medellin -> Guadeloupe,Cali -> Guadeloupe,Quito -> Guadeloupe,Guayaquil -> Guadeloupe
26,Medellin -> Guadeloupe,Cali -> Guadeloupe,Quito -> Santo Domingo,Guayaquil -> Guadeloupe
27,Cali -> Guadeloupe,Quito -> Guadeloupe,Guayaquil -> Guadeloupe
28,Medellin -> Guadeloupe,Cali -> Guadeloupe,Quito -> Guadeloupe
29,Medellin -> Guadeloupe,Cali -> Guadeloupe,Quito -> Guadeloupe
30,Medellin -> Guadeloupe,Cali -> Guadeloupe
31,Quito -> Guadeloupe,Guayaquil -> Guadeloupe
32,Medellin -> Guadeloupe,Quito -> Guadeloupe,Cali -> Guadeloupe,Guayaquil -> Guadeloupe
33,Medellin -> Guadeloupe,Quito -> Guadeloupe
34,Medellin -> Guadeloupe,Quito -> Guadeloupe
35,Medellin -> Guadeloupe,Quito -> Guadeloupe,Cali -> Guadeloupe,Guayaquil -> Guadeloupe
36,Medellin -> Guadeloupe,Cali -> Guadeloupe,Guayaquil -> Guadeloupe,Quito -> Guadeloupe
37,Medellin -> Guadeloupe,Cali -> Guadeloupe,Quito -> Guadeloupe,Guayaquil -> Guadeloupe
38,Cali -> Guadeloupe,Quito -> Guadeloupe,Guayaquil -> Guadeloupe
39,Medellin -> Guadeloupe,Cali -> Guadeloupe
40,nan
41,Guayaquil -> Guadeloupe,Quito -> Guadeloupe
42,Medellin -> Guadeloupe,Cali -> Guadeloupe,Guayaquil -> Guadeloupe,Quito -> Guadeloupe
43,Medellin -> Guadeloupe,Cali -> Guadeloupe,Guayaquil -> Guadeloupe,Quito -> Guadeloupe
44,Cali -> Guadeloupe,Medellin -> Guadeloupe,Guayaquil -> Guadeloupe,Quito -> Guadeloupe
45,Maracaibo -> Guadeloupe,Cali -> Guadeloupe,Medellin -> Guadeloupe,Guayaquil -> Guadeloupe,Quito -> Guadeloupe
46,Guayaquil -> Miami,Quito -> Miami,Maracaibo -> New York
47,Guayaquil -> Miami,Quito -> Miami,Maracaibo -> New York,Cali -> Boston
48,Guayaquil -> Miami,Quito -> Miami,Maracaibo -> New York,Cali -> New York
49,Quito -> Miami,Maracaibo -> New York,Cali -> New York
50,Guayaquil -> Miami,Quito -> Miami,Maracaibo -> New York,Cali -> New York
